FREQUENCY,FREQUENCY ERROR,AMPLITUDE,AMPLITUDE ERROR,PHASE DIFFERENCE MIN,PHASE DIFFERENCE MAX,PHASE DIFFERENCE,PHASE DIFFERENCE ERROR,DATASET NAME
0.86,0,3.68,0.01,93,94,93.5,0.5,T0002.CSV
0.3,0,0.44,0.01,1,5,3,2,T0003.CSV
0.4,0,0.49,0.01,4,6,5,1,T0004.CSV
0.5,0,0.58,0.01,6,8,7,1,T0005.CSV
0.6,0,0.74,0.01,10,12,11,1,T0006.CSV
0.7,0,1.1,0.01,17,19,18,1,T0007.CSV
0.8,0,2.3,0.01,39,41,40,1,T0008.CSV
1,0,1.04,0.01,165,167,166,1,T0009.CSV
1.2,0,0.4,0.004,176,178,177,1,T0010.CSV
1.4,0,0.228,0.004,177,179,178,1,T0011.CSV
1.6,0,0.15,0.003,178,180,179,1,T0012.CSV
1.8,0,0.11,0.004,178,180,179,1,T0013.CSV
2,0,0.084,0.004,180,180,180,0,T0014.CSV
